"Id. autor","Apellidos","Nombres","Sexo","Año de nacimiento","Año de muerte","Disciplina","Enlaces","Fuentes"
"9127","Dabini","Attilio","H","1902","1981","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9120","Dabove","Santiago","H","1889","1952","Escritura","https://es.wikipedia.org/wiki/Santiago_Dabove","Diccionario de autores latinoamericanos. 2001; Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9128","Dal Masetto","Antonio","H","1938","2015","Escritura","https://es.wikipedia.org/wiki/Antonio_Dal_Masetto; http://www.fundacionkonex.com.ar/b4640-antonio_dal_masetto","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9142","Dámaso Martínez","Carlos","H","1944","","Escritura","https://it.wikipedia.org/wiki/Carlos_D%C3%A1maso_Mart%C3%ADnez; http://www.cinenacional.com/persona/carlos-damaso-martinez","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9143","Damiani","Marcelo","H","1969","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9042","Damonte Botana","Raúl Natalio","H","1939","1987","Escritura","https://es.wikipedia.org/wiki/Copi","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9658","Darnell","Jorge","H","","","Audiovisual","http://www.imdb.com/name/nm0201517/; http://www.cinenacional.com/persona/jorge-darnell","Cine argentino. Diccionario de realizadores contemporáneos. 1987"
"9121","Dávalos","Juan Carlos","H","1887","1959","Escritura","","Diccionario de autores latinoamericanos. 2001"
"9144","Dávalos","Jaime","H","1921","1981","Escritura, Música","https://es.wikipedia.org/wiki/Jaime_D%C3%A1valos","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9659","David","Mario","H","1930","2001","Audiovisual","https://es.wikipedia.org/wiki/Mario_David; http://www.imdb.com/name/nm0202995/; http://www.cinenacional.com/persona/mario-david","Cine argentino. Diccionario de realizadores contemporáneos. 1987"
"9145","David","Guillermo","H","1965","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9660","Dawidowicz","Enrique","H","1927","1998","Audiovisual","https://es.wikipedia.org/wiki/Enrique_Dawi; http://www.imdb.com/name/nm0205955/; http://www.cinenacional.com/persona/enrique-dawi","Cine argentino. Diccionario de realizadores contemporáneos. 1987"
"8533","De Allende","Inés","M","1944","","Escritura","","Breve diccionario biográfico de autores argentinos desde 1940. 1999"
"9048","De Andrea","Miguel","H","1877","1960","Escritura","https://es.wikipedia.org/wiki/Miguel_De_Andrea","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9146","de Cartosio","Emma","M","1928","2013","Escritura","https://es.wikipedia.org/wiki/Emma_de_Cartosio","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9147","de Casasbellas","Ramiro","H","1936","1999","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9148","De Cecco","Sergio Amadeo","H","1931","1986","Escritura, Artes escénicas","https://es.wikipedia.org/wiki/Sergio_De_Cecco","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9662","de Grazia","Julio","H","1929","1989","Audiovisual","https://es.wikipedia.org/wiki/Julio_de_Grazia; http://www.imdb.com/name/nm0208674/; http://www.cinenacional.com/persona/julio-de-grazia","Cine argentino. Diccionario de realizadores contemporáneos. 1987"
"9149","de Grinbaum","Carolina","M","1929","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9150","de Ípola","Emilio","H","1939","","Escritura","https://es.wikipedia.org/wiki/Emilio_de_%C3%8Dpola; http://www.fundacionkonex.com.ar/b2785-emilio_de_%C3%8Dpola","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"8976","de la Barra","Emma","H","1861","1947","Escritura","https://es.wikipedia.org/wiki/Emma_de_la_Barra","Diccionario de autores latinoamericanos. 2001; Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G; Narradoras argentinas (1852-1932). 1995"
"9423","de la Cárcova y Arrotea","Ernesto Celedonio Emeterio","H","1866","1927","Artes visuales","https://es.wikipedia.org/wiki/Ernesto_de_la_C%C3%A1rcova","23 pintores de la Argentina. 1810-1900. 1978"
"9152","de la Fuente","Alfredo","H","1935","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9049","De La Púa","Carlos","H","1898","1950","Escritura, Música","https://es.wikipedia.org/wiki/Carlos_de_la_P%C3%BAa","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9663","de la Torre","Raúl","H","1938","2010","Audiovisual","https://es.wikipedia.org/wiki/Ra%C3%BAl_de_la_Torre; http://www.imdb.com/name/nm0868402/; http://www.cinenacional.com/persona/raul-de-la-torre","Cine argentino. Diccionario de realizadores contemporáneos. 1987"
"9445","de la Torre","Carlos","H","1856","1932","Artes visuales","","23 pintores de la Argentina. 1810-1900. 1978"
"9050","De María","Bernabé","H","1824","1918","Escritura, Artes visuales","","23 pintores de la Argentina. 1810-1900. 1978; Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9157","de Miguel","María Esther","M","1929","2003","Escritura","https://es.wikipedia.org/wiki/Mar%C3%ADa_Esther_de_Miguel; http://www.fundacionkonex.com.ar/b787-mar%C3%ADa_esther_de_miguel","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9161","De Santis","Pablo","H","1963","","Escritura","https://es.wikipedia.org/wiki/Pablo_De_Santis; http://www.fundacionkonex.com.ar/b2623-pablo_de_santis","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9744","de Tejeda y Guzmán","Luis José","H","1604","1680","Escritura","https://es.wikipedia.org/wiki/Luis_Jos%C3%A9_de_Tejeda_y_Guzm%C3%A1n","Diccionario de autores latinoamericanos. 2001"
"9051","Debenedetti","Salvador","H","1884","1930","Escritura","https://es.wikipedia.org/wiki/Salvador_Debenedetti","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010"
"9661","Defilippi","Ricardo Alberto","H","1925","","Audiovisual","https://es.wikipedia.org/wiki/Ricardo_Alberto_Defilippi; http://www.imdb.com/name/nm0214495/; http://www.cinenacional.com/persona/ricardo-alberto-defilippi","Cine argentino. Diccionario de realizadores contemporáneos. 1987"
"9122","Defilippis Novoa","Francisco","H","1890","1929","Escritura","https://es.wikipedia.org/wiki/Francisco_Defilippis_Novoa","Diccionario de autores latinoamericanos. 2001; Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
"9153","del Barco","Oscar","H","1928","","Escritura","","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G"
