nid,nombres,apellidos,seudonimos,variantes,genero,fecha_nacimiento,fecha_muerte,ano_nacimiento,ano_muerte,lugar_nacimiento,disciplinas,subdisciplinas,fuentes,enlaces_titulo,enlaces_url,notas,obs_tipo,obs_descripcion
9499,Horacio,Tignanelli,,,Hombre,,,1956,,Capital Federal,Artes escénicas|DEF: Escritura,Títeres/marionetas,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,disciplinas: DEF: Escritura
9500,Delfina,Tiscornia,,,Mujer,,,1966,1996,Capital Federal,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
9501,Fernando,Toledo,,,Hombre,,,1974,,Mendoza,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
9502,Marcelo,Torelli,,,Hombre,,,1964,1988,Córdoba,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
9503,Patricio,Torne,,,Hombre,,,1956,,Santa Fe,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
9504,Benjamín,Toro,,,Hombre,,,1948,,Salta,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía
,Javier,Torre,,,Hombre,,,1950,,Capital Federal,Artes audiovisuales|Escritura,Artes audiovisuales: Dirección cinematográfica|Escritura: Narrativa,,,,,>1 AUTOR MISMO NACIMIENTO,
9506,Susana,Torres Molina,,,Mujer,,,1956,,Capital Federal,Artes escénicas|Escritura,Escritura: Dramaturgia|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: Artes escénicas, subdisciplinas: Escritura: Dramaturgia"
9507,Jorge,Torres Zavaleta,,,Hombre,,,1951,,Capital Federal,Escritura,Escritura: Narrativa|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa
9508,Mirta,Tosoroni,,,Mujer,,,1947,,Capital Federal,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
9509,Susana,Tosso,,,Mujer,,,1942,,Buenos Aires,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía
9510,Mónica,Tracey,,,Mujer,,,1953,,Buenos Aires,Escritura,Poesía|Periodismo|Escritura: Poesía|Escritura: Periodismo,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía|Escritura: Periodismo
9511,Mariana,Trajtenberg,,,Mujer,,,1967,,Capital Federal,Escritura|DEF: Escritura,Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,disciplinas: DEF: Escritura
9512,Oscar,Traversa,,,Hombre,,,1940,,Capital Federal,Escritura,No ficción|Escritura: No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: No ficción
9513,Josefina,Trebucq,,,Mujer,,,1951,,Córdoba,Escritura,Poesía|Escritura: Narrativa|Periodismo|Narrativa|Escritura: Periodismo|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía|Escritura: Periodismo
9514,Carina,Trilnik,,,Mujer,,,1944,,Capital Federal,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
9515,Javier,Trímboli,,,Hombre,,,1966,,Capital Federal,Escritura,No ficción|Escritura: No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: No ficción
9516,María Elena,Tuesca,,,Mujer,,,1949,,Córdoba,Escritura,Poesía|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Poesía
9517,Silvia,Turbay,,,Mujer,,,1945,,Capital Federal,OBS: Escritura|Escritura,Escritura: Narrativa|No ficción|Escritura: No ficción|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: OBS: Escritura, subdisciplinas: Escritura: Narrativa|Escritura: No ficción"
9518,Stella Marys,Turbay,,,Mujer,,,1948,,Corrientes,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía
9519,Rubén,Salvador,Ture,,Hombre,,,1963,,Capital Federal,Escritura|DEF: Escritura,Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,disciplinas: DEF: Escritura
9473,Carlos,Ulanovsky,,,Hombre,,,1943,,Capital Federal,Escritura,Escritura: Narrativa|Periodismo|No ficción|Escritura: Periodismo|Narrativa|Escritura: No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: No ficción|Escritura: Periodismo
9474,Daniel,Ulanovsky Sack,,,Hombre,,,1960,,Santa Fe,Escritura,Periodismo|Escritura: Periodismo,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Periodismo
9475,Mónica,Undiano,,,Mujer,,,1958,,Jujuy,Escritura,Poesía|Escritura: Narrativa|Escritura: Traducción|Narrativa|Traducción|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Traducción|Escritura: Poesía
9476,Pablo,Urbanyi,,,Hombre,,,1948,,Hungría,Escritura,Escritura: Narrativa|Periodismo|Narrativa|Escritura: Periodismo,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Periodismo
9477,María Alicia,Uriondo,,,Mujer,,,1955,,Buenos Aires,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía
9310,Alejandro,Vaccaro,,,Hombre,,,1951,,Capital Federal,Escritura,No ficción|Escritura: No ficción,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: No ficción
9311,Sergio,Vainman,,,Hombre,,,1950,,Capital Federal,Artes audiovisuales|Escritura,Escritura: Dramaturgia|Artes audiovisuales: Guionista|Otras|Dramaturgia,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,"disciplinas: Artes audiovisuales, subdisciplinas: Escritura: Dramaturgia|Artes audiovisuales: Guionista"
9312,Carlos Pedro,Vairo,,,Hombre,,,1953,,Capital Federal,Escritura,Escritura: Narrativa|Narrativa,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa
9313,Susana,Valenti,,,Mujer,,,1943,,Santa Fe,Escritura,Poesía|Escritura: Narrativa|Narrativa|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía
9314,Esteban,Valentino,,,Hombre,,,1957,,Buenos Aires,Escritura,Poesía|Escritura: Narrativa|Periodismo|Narrativa|Escritura: Periodismo|Escritura: Poesía,Breve diccionario biográfico de autores argentinos desde 1940. 1999,,,,ADICIONES,subdisciplinas: Escritura: Narrativa|Escritura: Poesía|Escritura: Periodismo
,Adriana,OBS: Vale&#39;Iti,,,Mujer,,,1957,,Capital Federal,Escritura,Escritura: Poesía,,,,,NUEVO,sin observaciones
