"nid","nombres","apellidos","seudonimos","variantes","genero","fecha_nacimiento","fecha_muerte","ano_nacimiento","ano_muerte","lugar_nacimiento","disciplinas","subdisciplinas","fuentes","enlaces_titulo","enlaces_url","notas"
"8866","Nicolás","Bratosevich","","","Hombre","","","1926","2014","Capital Federal","Escritura","No ficción","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8867","Edgar Aldo","Brau","","","Hombre","","","1958","","Chaco","Escritura","Dramaturgia|Narrativa","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8692","Silvia Adriana","Braun de Borgato","","","Mujer","","","1946","","Santa Fe","Escritura","No ficción|Narrativa","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8693","Gloria","Bravar","","","Mujer","","","1954","","Buenos Aires","Escritura","Dramaturgia","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8868","Héctor","Bravo","","","Hombre","","","1963","","Chaco","Escritura","Narrativa|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8694","Emilio","Breda","","","Hombre","","","1945","","Capital Federal","Escritura","No ficción|Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8695","Orlando van","Bredam","","","Hombre","","","1952","","Entre Ríos","Escritura","Narrativa|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8696","Marilyn","Briante","","","Mujer","","","1963","","Buenos Aires","Escritura","Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8697","Miguel","Briante","","","Hombre","19/05/1944","25/01/1995","1944","1995","Buenos Aires","Escritura","Narrativa|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español","https://es.wikipedia.org/wiki/Miguel_Briante",""
"8698","Pedro","Brieger","","","Hombre","","","1955","","Capital Federal","Escritura","No ficción|Periodismo","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8869","Hernán","Brienza","","","Hombre","","","1971","","Capital Federal","Escritura","No ficción|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","","",""
"8699","José María","Brindisi","","","Hombre","","","1969","","Capital Federal","Escritura","Narrativa|Periodismo","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8700","Leopoldo Diego","Brizuela","","","Hombre","08/06/1963","","1963","","Buenos Aires","Escritura","Narrativa|Periodismo|Poesía|Traducción","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G|Breve diccionario biográfico de autores argentinos desde 1940. 1999","Wikipedia en español|Fundación Konex","https://es.wikipedia.org/wiki/Leopoldo_Brizuela|http://www.fundacionkonex.com.ar/b2633-leopoldo_brizuela",""
"8870","Carlos Alberto","Brocato","","","Hombre","","","1932","1996","Capital Federal","Escritura","No ficción|Periodismo|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español","https://es.wikipedia.org/wiki/Carlos_Alberto_Brocato",""
"8701","Marcelo","Brodsky","","","Hombre","","","1954","","Capital Federal","Escritura|Fotografía","Periodismo|Poesía","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8702","Vivian","Brown","","","Mujer","","","1943","","Entre Ríos","Escritura","Narrativa","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8703","Paula","Brudny","","","Mujer","","","1964","","Capital Federal","Escritura","Poesía|Traducción","Breve diccionario biográfico de autores argentinos desde 1940. 1999","","",""
"8894","Faustino","Brughetti","","","Hombre","06/09/1877","06/06/1956","1877","1956","Buenos Aires","Escritura|Artes visuales","Pintura|No ficción","Diccionario de escritores de la Provincia de Buenos Aires. Coloniales y siglo XIX. 2010","Wikipedia en español","https://es.wikipedia.org/wiki/Faustino_Brughetti",""
"8871","Romualdo","Brughetti","","","Hombre","07/02/1912","04/03/2003","1912","2003","Buenos Aires","Escritura","No ficción|Poesía","Diccionario razonado de la literatura y la crítica argentinas. Siglo XX. Tomo 1. A-G","Wikipedia en español|Fundación Konex","https://es.wikipedia.org/wiki/Romualdo_Brughetti|http://www.fundacionkonex.com.ar/b490-romualdo__brughetti",""
